,mean radius,mean texture,mean smoothness,mean compactness,mean symmetry,mean fractal dimension,texture error,smoothness error,symmetry error,worst symmetry
0,11.52,14.93,0.1013,0.07808,0.1883,0.06168,1.038,0.006662,0.01677,0.2664
1,13.05,19.31,0.0806,0.03789,0.1819,0.05501,1.214,0.007491,0.0219,0.2439
2,14.2,20.53,0.08931,0.1108,0.1506,0.06009,1.018,0.004107,0.0161,0.2534
3,12.07,13.44,0.11,0.09009,0.1657,0.06608,0.504,0.007327,0.01962,0.2781
4,11.61,16.02,0.1088,0.1168,0.1886,0.0632,0.7339,0.005884,0.01848,0.2787
5,9.72,18.22,0.0695,0.02344,0.1653,0.06447,4.885,0.001713,0.03799,0.1909
6,12.34,12.27,0.09003,0.06307,0.1689,0.05808,0.4957,0.003681,0.01129,0.311
7,14.92,14.93,0.08098,0.08549,0.1687,0.05669,0.4334,0.003271,0.01148,0.2688
8,6.981,13.43,0.117,0.07568,0.193,0.07818,1.508,0.01019,0.02659,0.2932
9,11.54,14.44,0.09984,0.112,0.1818,0.06782,1.768,0.01215,0.0184,0.2329
10,10.49,19.29,0.09989,0.08578,0.2217,0.06481,1.534,0.007595,0.0271,0.2826
11,13.71,18.68,0.09916,0.107,0.1714,0.06843,1.249,0.006739,0.0187,0.2849
12,9.042,18.9,0.09968,0.1972,0.233,0.08743,1.911,0.009845,0.03491,0.3135
13,16.17,16.07,0.0988,0.1438,0.199,0.06572,0.489,0.00451,0.01934,0.3153
14,19.81,22.15,0.09831,0.1027,0.1582,0.05395,1.017,0.006494,0.01356,0.2768
15,17.47,24.68,0.1049,0.1603,0.1538,0.06365,1.41,0.006174,0.01145,0.216
16,13.3,21.57,0.08582,0.06373,0.1815,0.05696,1.539,0.005498,0.01829,0.2637
17,18.66,17.12,0.1054,0.11,0.1966,0.06213,1.581,0.008102,0.02045,0.2894
18,12.49,16.85,0.08511,0.03834,0.1215,0.05673,0.7151,0.004928,0.01393,0.1917
19,12.96,18.29,0.07351,0.07899,0.1874,0.05899,1.299,0.003629,0.02632,0.3207
20,12.39,17.48,0.1042,0.1297,0.1779,0.06588,0.873,0.006715,0.01838,0.2819
21,13.24,20.13,0.08284,0.1223,0.1601,0.06432,0.8135,0.004929,0.01526,0.2845
22,16.6,28.08,0.08455,0.1023,0.159,0.05648,1.075,0.005903,0.01318,0.2218
23,20.31,27.06,0.1,0.1088,0.1814,0.05572,1.033,0.005043,0.01282,0.3151
24,11.45,20.97,0.1102,0.09362,0.1842,0.07005,2.174,0.01037,0.01816,0.2762
25,8.196,16.84,0.086,0.05943,0.1769,0.06503,0.9567,0.008968,0.02574,0.3105
26,13.4,20.52,0.1106,0.1469,0.2116,0.07325,0.9306,0.005414,0.01705,0.3585
27,16.27,20.71,0.1169,0.1319,0.1948,0.06277,1.232,0.006697,0.01536,0.3103
28,13.45,18.3,0.1022,0.08165,0.1638,0.0571,1.373,0.005884,0.01884,0.2678
29,16.25,19.51,0.1026,0.1893,0.2151,0.06578,0.9857,0.009197,0.02773,0.3318
30,13.34,15.86,0.1078,0.1535,0.1942,0.06902,1.016,0.006794,0.02134,0.3527
31,14.6,23.29,0.08682,0.06636,0.1627,0.05416,1.627,0.008312,0.0174,0.2477
32,10.97,17.2,0.08915,0.1113,0.1489,0.0664,1.376,0.008565,0.01516,0.254
33,19.8,21.56,0.09383,0.1306,0.2094,0.05581,1.186,0.006804,0.01897,0.307
34,17.42,25.56,0.1006,0.1146,0.1308,0.05866,1.667,0.03113,0.02175,0.1603
35,11.93,21.53,0.09768,0.07849,0.1688,0.06194,0.9227,0.007803,0.01278,0.2438
36,14.61,15.69,0.07618,0.03515,0.1632,0.05255,0.9115,0.005031,0.01494,0.253
37,11.08,18.83,0.1216,0.2154,0.2196,0.0795,1.027,0.007405,0.01738,0.4154
38,17.35,23.06,0.08662,0.0629,0.1564,0.05307,1.317,0.005726,0.01411,0.2452
39,13.46,18.75,0.1075,0.1138,0.1723,0.06317,0.6068,0.004413,0.01354,0.3518
40,13.69,16.07,0.08302,0.06374,0.1872,0.05669,0.5066,0.00423,0.01943,0.3323
41,11.28,13.39,0.1164,0.1136,0.1771,0.06072,1.343,0.01127,0.0158,0.2102
42,11.64,18.33,0.1142,0.1017,0.1801,0.0652,1.657,0.00854,0.01565,0.2806
43,20.94,23.56,0.1007,0.1606,0.2205,0.05898,0.8208,0.005283,0.02401,0.3126
44,12.47,18.6,0.09965,0.1058,0.1925,0.06373,1.044,0.006953,0.01782,0.3014
45,12.56,19.07,0.0876,0.1038,0.1533,0.06184,1.478,0.009853,0.02639,0.2121
46,12.36,21.8,0.08772,0.09445,0.193,0.06404,1.502,0.007112,0.01958,0.2972
